,INN_Name,BrandName,Phase,Applicants,LigID,pdbID,Type,RoF,MW,LogP,TPSA,HBA,HBD,NRB,Indications,Targets,Kinase_families,First_Approval,SC_Patent,Chirality,Synonyms,FDA_approved,Melting_points_C,Canonical_Smiles,InChIKey
129,Asciminib,,3.0,Novartis,AY7,['5mo4'],,0,449.1,3.5,103.4,6,3,6,,,,,,,['ASCIMINIB'],,,c1cc(ccc1NC(=O)c2cc(c(nc2)N3CC[C@H](C3)O)c4ccn[nH]4)OC(F)(F)Cl,VOVZXURTCKPRDQ-CQSZACIVSA-N
130,Rigosertib,,3.0,Onconova Therapeutics,6FS,"['5j18', '5j2r', '5ov7']",3.0,0,451.1,2.8,120.4,8,2,11,,"['PIK3CA', 'PLK1']","['Atypical', 'Other']",,,Achiral Molecule,"['Rigosertib', 'ON-01910']",,,COc1ccc(cc1NCC(=O)O)CS(=O)(=O)/C=C/c2c(cc(cc2OC)OC)OC,OWBFCJROIKNMGD-BQYQJAHWSA-N
131,Radotinib,,3.0,Il-Yang Pharmaceutical,,,,2,530.2,5.8,110.5,8,2,6,"Radotinib is indicated for the treatment of different types of cancer, most notably Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (C ML) with resistance or intolerance of other Bcr-Abl tyrosine-kinase inhibitors, such as patients resistant or intolerant to imatinib.","['ABL1', 'PDGFRB']",['Tyr'],,,,"['SUPEC', 'IY5511HCL']",,,Cc1ccc(cc1Nc2nccc(n2)c3cnccn3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F,DUPWHXBITIZIKZ-UHFFFAOYSA-N
132,Quizartinib,,3.0,Ambit Biosciences,P30,"['4rt7', '4xuf']",2.0,2,560.2,5.9,106.2,9,2,7,,"['FLT3', 'CSF1R', 'KIT']",['Tyr'],,,Achiral Molecule,"['ASP-2689', 'AC220', 'Quizartinib', 'AC010220', 'AC-220']",,,CC(C)(C)c1cc(no1)NC(=O)Nc2ccc(cc2)c3cn4c5ccc(cc5sc4n3)OCCN6CCOCC6,CVWXJKQAOSCOAB-UHFFFAOYSA-N
133,Ripretinib,,3.0,Deciphera Pharmaceuticals,,,,2,509.1,5.7,88.0,5,3,5,"Ripretinib (DCC-2618) is an orally bioavailable, potent pan-KIT and PDGFRα kinase inhibitor being developed by Dicephera Pharmaceuticals.  It is  in clinical development for the treatment of  malignancies that are driven by KIT and/or PDGFRα, for example gastrointestinal stromal tumors, glioblastoma multiforme and systemic mastocytosis. Ripretinib has activity across a broad range of resistance mutations in its target kinases, that emerge in response to imatinib treatment. Ripretinib binds to the 'switch pocket' of KIT, a domain that regulates the enzyme's catalytic conformation. Compounds that act in this way are often referred to as switch control inhibitors.",,,,,,"['DCC-2618', 'RIPRETINIB']",,,CCn1c2cc(ncc2cc(c1=O)c3cc(c(cc3Br)F)NC(=O)Nc4ccccc4)NC,CEFJVGZHQAGLHS-UHFFFAOYSA-N
134,Famitinib,,3.0,Jiangsu Hengrui Medicine,,,,0,410.2,3.3,68.4,3,2,6,,"['KIT', 'KDR', 'FLT4', 'PDGFRA', 'PDGFRB', 'FLT1', 'FLT3']",['Tyr'],,,,['SHR-1020'],,,CCN(CC)CCN1CCc2c(c(c([nH]2)/C=C\3/c4cc(ccc4NC3=O)F)C)C1=O,GKEYKDOLBLYGRB-LGMDPLHJSA-N
135,Lestaurtinib,,3.0,Cephalon,,,,0,439.2,3.5,88.7,6,3,1,,['FLT3'],['Tyr'],,,Single Stereoisomer,"['KT-5555', 'KT-555', 'Lestaurtinib', 'SPM-924', 'SP-924', 'A-154475', 'CEP-701', 'Cep-701', 'SP924', 'A-1544750']",,,C[C@@]12[C@](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)(CO)O,UIARLYUEJFELEN-LROUJFHJSA-N
136,Rociletinib,,3.0,Clovis Oncology,8JC,"['5xdk', '5xdl']",1.0,1,555.2,4.8,111.7,8,3,8,,['EGFR'],['Tyr'],,,Achiral Molecule,"['CNX-419', 'AVL-301', 'CO-1686', 'Rociletinib']",,,CC(=O)N1CCN(CC1)c2ccc(c(c2)OC)Nc3ncc(c(n3)Nc4cccc(c4)NC(=O)C=C)C(F)(F)F,HUFOZJXAKZVRNJ-UHFFFAOYSA-N
137,Simotinib,,3.0,Advenchen Laboratories,,,,1,500.2,4.4,78.0,8,1,7,,['EGFR'],['Tyr'],,,,['SIM-6802'],,,COc1cc2c(cc1OCCN3CC4(CC4)C5(C3)OCCO5)c(ncn2)Nc6ccc(c(c6)Cl)F,OXWUWXCJDBRCCG-UHFFFAOYSA-N
138,Alisertib,,3.0,Millennium Pharmaceuticals,A5B,['5ia0'],1.0,2,518.1,5.7,105.9,7,2,6,For the treatment of various forms of cancer.,['AURKA'],['Other'],,,Achiral Molecule,"['MLN-8237', 'Alisertib']",,,COc1cccc(c1C2=NCc3cnc(nc3-c4c2cc(cc4)Cl)Nc5ccc(c(c5)OC)C(=O)O)F,ZLHFILGSQDJULK-UHFFFAOYSA-N
139,Cediranib,['Recentin'],3.0,Astrazeneca,,,,1,450.2,5.2,72.5,6,1,8,"For the treatment of liver cancer, advanced non-small cell lung cancer (NSCLC), advanced colorectal cancer (CRC) and other solid tumors.",['KDR'],['Tyr'],,,Achiral Molecule,"['Recentin', 'ZD-2171', 'AZD-2171', 'Cediranib']",,,Cc1cc2c([nH]1)ccc(c2F)Oc3c4cc(c(cc4ncn3)OCCCN5CCCC5)OC,XXJWYDDUDKYVKI-UHFFFAOYSA-N
140,Buparlisib,,3.0,Novartis,SD5,"['3sd5', '5m7e']",1.0,0,410.2,1.8,89.6,8,1,3,,['PIK3CA'],['Atypical'],,,Achiral Molecule,"['NVP-BKM120', 'BKM-120', 'Buparlisib', 'BKM120-NX']",,,c1c(c(cnc1N)c2cc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F,CWHUFRVAEUJCEF-UHFFFAOYSA-N
141,Tivantinib,,3.0,Daiichi Sankyo,TIV,['5cb4'],,0,369.1,3.6,66.9,3,2,2,,['MET'],['Tyr'],,,Single Stereoisomer,"['ARQ-197', 'Tivantinib']",,,c1ccc2c(c1)c(c[nH]2)[C@H]3[C@@H](C(=O)NC3=O)c4cn5c6c4cccc6CCC5,UCEQXRCJXIVODC-PMACEKPBSA-N
142,Brivanib,,3.0,Bristol Myers Squibb,,,,0,370.1,3.5,84.7,6,2,5,,['KDR'],['Tyr'],,,Single Stereoisomer,"['Brivanib', 'BMS-540215']",,,Cc1cc2c([nH]1)ccc(c2F)Oc3c4c(c(cn4ncn3)OC[C@@H](C)O)C,WCWUXEGQKLTGDX-LLVKDONJSA-N
143,Fruquintinib,,3.0,Hutchison MediPharma,,,,0,393.1,3.9,95.7,7,1,5,,"['FLT1', 'KDR', 'FLT4']",['Tyr'],,,Single Stereoisomer,"['HMP-013', 'HMPL-013']",,,Cc1c(c2ccc(cc2o1)Oc3c4cc(c(cc4ncn3)OC)OC)C(=O)NC,BALLNEJQLSTPIO-UHFFFAOYSA-N
144,Barasertib,,3.0,Astrazeneca,,,,1,587.2,3.6,174.8,9,5,15,,['AURKB'],['Other'],,,Achiral Molecule,"['Barasertib', 'AZD-1152']",,,CCN(CCCOc1ccc2c(c1)ncnc2Nc3cc(n[nH]3)CC(=O)Nc4cccc(c4)F)CCOP(=O)(O)O,GBJVVSCPOBPEIT-UHFFFAOYSA-N
145,Dovitinib,,3.0,Novartis,38O,"['4tyi', '5a46', '5am6', '5am7', '5owq']",1.0,0,392.2,2.5,94.0,5,3,2,,"['FGFR3', 'VEGFA', 'FGFR1', 'PDGFRA', 'KIT', 'CSF1R']","['(*)', 'Tyr']",,,Achiral Molecule,"['GFKI-258', 'TKI-258', 'CHIR-258', 'NVP-TKI258', 'Dovitinib']",,,CN1CCN(CC1)c2ccc3c(c2)[nH]c(n3)c4c(c5c(cccc5F)[nH]c4=O)N,PIQCTGMSNWUMAF-UHFFFAOYSA-N
146,Volasertib,,3.0,Boehringer Ingelheim,IBI,"['3fc2', '5v67', '5vbr']",1.0,1,618.4,4.3,106.2,9,2,10,,['PLK1'],['Other'],,,Single Stereoisomer,"['BI-6727', 'Volasertib']",,,CC[C@H]1N(c2nc(ncc2N(C1=O)C)Nc3c(cc(cc3)C(=O)N[C@H]4CC[C@@H](CC4)N5CCN(CC5)CC6CC6)OC)C(C)C,SXNJFOWDRLKDSF-STROYTFGSA-N
147,Ensartinib,,3.0,Xcovery,,,,1,560.2,4.7,122.5,7,3,6,,['ALK'],['Tyr'],,,,"['X-396', 'X396', 'X-396', 'CAPSULES', 'ENSARTINIB']",,,C[C@@H]1CN(C[C@@H](N1)C)C(=O)c2ccc(cc2)NC(=O)c3cc(c(nn3)N)O[C@H](C)c4c(ccc(c4Cl)F)Cl,GLYMPHUVMRFTFV-QLFBSQMISA-N
148,Dinaciclib,,3.0,Schering-Plough,,,,0,396.2,2.3,92.6,7,2,7,,"['CDK4', 'CDK6', 'BRDT']","['(*)', 'CMGC']",,,Single Stereoisomer,"['MK-7965', 'SCH-727965', 'Dinaciclib']",,,CCc1cnn2c1nc(cc2NCc3ccc[n+](c3)[O-])N4CCCC[C@H]4CCO,PIMQWRZWLQKKBJ-SFHVURJKSA-N
149,Peficitinib,,3.0,Astellas Pharma,9T6,"['6aah', '6aaj', '6aak', '6aam']",,0,326.2,2.0,104.0,4,4,3,,"['JAK1', 'JAK2', 'JAK3', 'TYK2']",['Tyr'],,,Racemic Mixture,"['ASP015K', 'ASP015K', 'hydrobromide']",,,c1c[nH]c2c1c(c(cn2)C(=O)N)N[C@@H]3[C@@H]4C[C@@H]5C[C@H]3C[C@@](C5)(C4)O,DREIJXJRTLTGJC-ZKVNVPQCSA-N
150,Taselisib,,3.0,Hoffmann-La Roche,799,['5t8f'],1.0,0,460.2,3.2,118.7,9,1,5,,"['PIK3CA', 'PIK3CD', 'PIK3CG']",['Atypical'],,,Racemic Mixture,"['RG-7604', 'Taselisib', 'GDC-0032']",,,Cc1nc(n(n1)C(C)C)c2cn3c(n2)-c4ccc(cc4OCC3)c5cnn(c5)C(C)(C)C(=O)N,BEUQXVWXFDOSAQ-UHFFFAOYSA-N
151,Vatalanib,,3.0,Novartis,,,,1,346.1,5.0,50.7,4,1,4,Used in combination with first- and second-line chemotherapy for the treatment of metastatic colorectal cancer and non-small cell lung cancer (NSCLC).,"['FLT1', 'KDR', 'FLT4']",['Tyr'],,,Achiral Molecule,"['BAY-86-5127', 'PTK-787', 'NVP-PTK787', 'ZK-222584', 'K-222584', 'CGP-79787', 'PTK787', 'Vatalanib']",,,c1ccc2c(c1)c(nnc2Nc3ccc(cc3)Cl)Cc4ccncc4,YCOYDOIWSSHVCK-UHFFFAOYSA-N
152,Canertinib,,3.0,Pfizer,,,,0,485.2,4.4,88.6,7,2,9,Investigated for use/treatment in breast cancer and lung cancer.,['EGFR'],['Tyr'],,,Achiral Molecule,"['CI-1033', 'Canertinib']",,,C=CC(=O)Nc1cc2c(cc1OCCCN3CCOCC3)ncnc2Nc4ccc(c(c4)Cl)F,OMZCMEYTWSXEPZ-UHFFFAOYSA-N
153,Masitinib,"['Kinavet', 'Masivet']",3.0,AB Science,G65,['5mql'],,1,498.2,5.3,73.4,7,2,7,,"['KIT', 'PDGFRA', 'PDGFRB', 'FGFR1', 'FGFR2', 'FGFR3']",['Tyr'],,,Achiral Molecule,"['Masivet;Kinavet', 'Masitinib', 'AB-1010']",,,Cc1ccc(cc1Nc2nc(cs2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,WJEOLQLKVOPQFV-UHFFFAOYSA-N
154,Enzastaurin,,3.0,Eli Lilly,,,,1,515.2,4.9,72.2,6,1,5,,,,,,Achiral Molecule,"['LY-317615', 'Enzastaurin']",,,Cn1cc(c2c1cccc2)C3=C(C(=O)NC3=O)c4cn(c5c4cccc5)C6CCN(CC6)Cc7ccccn7,AXRCEOKUDYDWLF-UHFFFAOYSA-N
155,Umbralisib,,3.0,TG Therapeutics,,,,2,571.2,6.7,109.1,8,1,6,,,,,,Single Stereoisomer,"['Umbralisib', 'TGR-1202', 'base', 'RP-5264']",,,C[C@@H](c1c(c(=O)c2cc(ccc2o1)F)c3cccc(c3)F)n4c5c(c(n4)c6ccc(c(c6)F)OC(C)C)c(ncn5)N,IUVCFHHAEHNCFT-INIZCTEOSA-N
156,Crenolanib,,3.0,Arog Pharmaceuticals,6T2,"['5lby', '6bqp']",1.0,0,443.2,3.9,78.4,7,1,5,,"['FLT3', 'PDGFRA', 'PDGFRB']",['Tyr'],,,Achiral Molecule,"['CP-868596', 'ARO-002', 'Crenolanib']",,,CC1(COC1)COc2ccc3c(c2)ncn3c4ccc5cccc(c5n4)N6CCC(CC6)N,DYNHJHQFHQTFTP-UHFFFAOYSA-N
157,Sitravatinib,,3.0,Mirati Therapeutics,,,,2,629.2,6.5,114.5,8,3,12,,"['RET', 'DDR2', 'NTRK1', 'NTRK2', 'NTRK3']",['Tyr'],,,Achiral Molecule,"['MGCD516', 'Sitravatinib']",,,COCCNCc1ccc(nc1)c2cc3c(s2)c(ccn3)Oc4ccc(cc4F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F,WLAVZAAODLTUSW-UHFFFAOYSA-N
158,Crizotinib,['Xalkori'],4.0,Pfizer,VGH,"['2wgj', '2xp2', '2yfx', '3zbf', '4anq', '4ans', '4c9w', '5aaa', '5aab', '5aac', '6imz']",1.0,1,449.1,5.0,78.0,6,2,5,Crizotinib is used for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) that is anaplastic-lymphoma kinase (ALK)-pos itive as detected by a FDA-approved test.,"['ALK', 'MET']",['Tyr'],2011,US-7230098-B2,Single Stereoisomer,"['Xalkori', 'Crizotinib', 'PF-2341066']",Y,,C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4,KTEIFNKAUNYNJU-GFCCVEGCSA-N
159,Copanlisib,['Aliqopa'],4.0,Bayer,6E2,['5g2n'],1.0,1,480.2,0.7,139.8,11,2,7,Indicated for the treatment of adult patients with relapsed follicular lymphoma (FL) who have received at least two prior systemic therapies.,"['PIK3CA', 'PIK3CB']",['Atypical'],2017,US-7511041-B2,Achiral Molecule,"['Copanlisib', 'BAY', '80-6946', 'BAY-80-6946']",Y,,COc1c(ccc2c1N=C(N3C2=NCC3)NC(=O)c4cnc(nc4)N)OCCCN5CCOCC5,PZBCKZWLPGJMAO-UHFFFAOYSA-N
160,Cobimetinib,['Cotellic'],4.0,Hoffmann-La Roche,EUI,"['4an2', '4lmn']",3.0,1,531.1,3.8,64.6,4,3,4,"For the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation. Cobimetinib is used in combination with ve murafenib, a BRAF inhibitor.",['MAP2K1'],['STE'],2015,US-7803839-B2,Single Stereoisomer,"['Cotellic', 'RG-7421', 'GDC-0973', 'RG-7420', 'XL-518', 'Cobimetinib']",Y,,c1c(cc(c(c1)Nc2c(c(ccc2C(=O)N3C[C@@](C3)(O)[C@H]4NCCCC4)F)F)F)I,BSMCAPRUBJMWDF-KRWDZBQOSA-N
161,Gefitinib,['Iressa'],4.0,Astrazeneca,IRE,"['2ito', '2ity', '2itz', '3ug2', '4i22', '4wkq', '5y7z', '5y80']",1.5,0,446.2,4.3,68.7,7,1,8,For the continued treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of either platinum-based or docet axel chemotherapies.,['EGFR'],['Tyr'],2003,US-5770599-A,Achiral Molecule,"['Iressa', 'Gefitinib', 'Iressa', 'ZD-1839']",Y,,COc1cc2c(cc1OCCCN3CCOCC3)c(ncn2)Nc4ccc(c(c4)Cl)F,XGALLCVXEZPNRQ-UHFFFAOYSA-N
162,Ibrutinib,['Imbruvica'],4.0,Pharmacyclics,1E8,"['4ifg', '4rz7', '5p9i', '5yu9']",1.5,0,440.2,4.2,99.2,7,1,5,"Ibrutinib was approved by the FDA for the treatment of mantle cell lymphoma, and later in February 2014 for the treatment of chronic lymphocytic leuke mia",['BTK'],['Tyr'],2013,US-7514444-B2,Single Stereoisomer,"['Imbruvica', 'PCI-32765', 'PCI-32765-00', 'Ibrutinib', 'CRA-032765']",Y,149-158,C=CC(=O)N1CCC[C@H](C1)n2c3c(c(n2)c4ccc(cc4)Oc5ccccc5)c(ncn3)N,XYFPWWZEPKGCCK-GOSISDBHSA-N
163,Cabozantinib,"['Cabometyx', 'Cometriq']",4.0,Exelixis,,,2.0,2,501.2,5.5,98.8,6,2,8,For the treatment of metastatic medullary thyroid cancer and for the treatment of patients with advanced renal cell carcinoma (RCC) who have received  prior anti-angiogenic therapy.,"['MET', 'KDR', 'RET']",['Tyr'],2012,US-7579473-B2,Achiral Molecule,"['Cabometyx;Cometriq', 'XL-184', 'Cabozantinib', 'BMS-907351']",Y,,COc1cc2c(ccnc2cc1OC)Oc3ccc(cc3)NC(=O)C4(CC4)C(=O)Nc5ccc(cc5)F,ONIQOQHATWINJY-UHFFFAOYSA-N
164,Pazopanib,['Votrient'],4.0,GlaxoSmithKline,,,1.0,0,437.2,3.1,119.0,8,2,5,Treatment of advanced renal cell cancer and advanced soft tissue sarcoma (in patients previously treated with chemotherapy),"['FLT1', 'KDR', 'FLT4', 'PDGFRA', 'PDGFRB', 'KIT', 'FGFR3', 'ITK', 'FGFR1']",['Tyr'],2009,US-7105530-B2,Achiral Molecule,"['Votrient', 'Pazopanib', 'GW786034']",Y,,Cc1ccc(cc1S(=O)(=O)N)Nc2nccc(n2)N(C)c3ccc4c(n(nc4c3)C)C,CUIHSIWYWATEQL-UHFFFAOYSA-N
165,Neratinib,['Nerlynx'],4.0,Puma Biotechnology,,,,2,556.2,5.9,112.4,8,2,11,"For use as an extended adjuvant treatment in adult patients with early stage HER2-overexpressed/amplified breast cancer, to follow adjuvant trastuzuma b-based therapy","['ERBB2', 'EGFR']",['Tyr'],2017,US-6288082-B1,Achiral Molecule,"['WAY-179272', 'CDP-820', 'Neratinib', 'HKI-272']",Y,,CCOc1cc2c(cc1NC(=O)/C=C/CN(C)C)c(c(cn2)C#N)Nc3ccc(c(c3)Cl)OCc4ccccn4,JWNPDZNEKVCWMY-VQHVLOKHSA-N
166,Netarsudil,['Rhopressa'],4.0,Aerie Pharmaceutical,,,,0,453.2,4.9,94.3,5,2,7,"On december 18, 2017, the FDA approved netarsudil to treat glaucoma or ocular hypertension",,,2017,,Racemic Mixture,['AR-13324'],Y,,Cc1ccc(c(c1)C)C(=O)OCc2ccc(cc2)[C@@H](CN)C(=O)Nc3ccc4cnccc4c3,OURRXQUGYQRVML-AREMUKBSSA-N
167,Nilotinib,['Tasigna'],4.0,Novartis,NIL,"['3cs9', '3gp0', '5mo4']",2.0,2,529.2,6.4,97.6,7,2,6,"For the potential treatment of various leukemias, including chronic myeloid leukemia (CML).","['ABL1', 'KIT']",['Tyr'],2007,US-7169791-B2,Achiral Molecule,"['Tasigna', 'Nilotinib', 'AMN-107']",Y,,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F,HHZIURLSWUIHRB-UHFFFAOYSA-N
168,Dabrafenib,['Tafinlar'],4.0,GlaxoSmithKline,P06,"['4xv2', '5csw', '5hie']",1.5,2,519.1,5.4,110.9,7,2,5,Dabrafenib is indicated for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved  test.,"['BRAF', 'RAF1', 'SIK1', 'NEK11', 'LIMK1']","['NEK', 'TKL', 'CAMK']",2013,US-7994185-B2,Achiral Molecule,"['Tafinlar', 'GSK2118436A', 'Dabrafenib']",Y,,CC(C)(C)c1nc(c(s1)c2ccnc(n2)N)c3cccc(c3F)NS(=O)(=O)c4c(cccc4F)F,BFSMGDJOXZAERB-UHFFFAOYSA-N
169,Dasatinib,['Sprycel'],4.0,Bristol Myers Squibb,1N1,"['2gqg', '2y6o', '2zva', '3g5d', '3k54', '3lfa', '3oct', '3oht', '3qlg', '3sxr', '4qms', '4xey', '4xli', '5bvw', '5h2u', '5i9y', '5owr', '5vcv', '6bsd', '6fnm']",1.0,0,487.2,3.3,106.5,9,3,7,"For the treatment of adults with chronic, accelerated, or myeloid or lymphoid blast phase chronic myeloid leukemia with resistance or intolerance to p rior therapy. Also indicated for the treatment of adults with Philadelphia chromosome-positive acute lymphoblastic leukemia with resistance or intolerance to prior therapy.","['ABL1', 'SRC', 'EPHA2', 'LCK', 'YES1', 'KIT', 'PDGFRB', 'ABL2', 'FYN']",['Tyr'],2006,US-6596746-B1,Achiral Molecule,"['Sprycel;Dasatinib', 'BMS-354825-03', 'BMS-354825', 'Dasatinib']",Y,280-286,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
170,Trametinib,['Mekinist'],4.0,GlaxoSmithKline,,,3.0,1,615.1,3.9,107.1,8,2,5,"Trametinib is indicated for the treatment of unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved te st.","['BRAF', 'MAP2K1', 'MAP2K2']","['TKL', 'STE']",2013,US-7378423-B2,Achiral Molecule,"['Mekinist', 'GSK1120212', 'Trametinib']",Y,293-303,Cc1c2c(c(n(c1=O)C)Nc3ccc(cc3F)I)c(=O)n(c(=O)n2c4cccc(c4)NC(=O)C)C5CC5,LIRYPHYGHXZJBZ-UHFFFAOYSA-N
171,Ruxolitinib,['Jakafi'],4.0,Incyte Corporation,RXT,['4u5j'],1.0,0,306.2,3.5,83.2,5,1,4,"Treatment of intermediate or high-risk myelofibrosis, including primary myelofibrosis, post-polycythemia vera (post-PV) myelofibrosis and post-essenti al thrombocythemia (post-ET) myelofibrosis. [Lexicomp] Myeolofibrosis is the proliferation of abnormal bone marrow stem cells which cause fibrosis (the excessive formation of connective tissue).","['JAK1', 'JAK2']",['Tyr'],2011,US-7598257-B2,Single Stereoisomer,"['Jakavi', 'INCB-018424', 'Ruxolitinib']",Y,,c1c[nH]c2c1c(ncn2)c3cnn(c3)[C@H](CC#N)C4CCCC4,HFNKQEVNSGCOJV-OAHLLOKOSA-N
172,Vandetanib,"['Caprelsa', 'Zactima']",4.0,Ipr Pharmaceuticals,ZD6,['2ivu'],1.5,1,474.1,5.0,59.5,6,1,6,"Vandetanib is currently approved as an alternative to local therapies for both unresectable and disseminated disease. Because Vandetanib can prolong t he Q-T interval, it is contraindicated for use in patients with serious cardiac complications such as congenital long QT syndrome and uncompensated heart failure.","['VEGFA', 'EGFR', 'PTK6', 'TEK', 'RET']","['(*)', 'Tyr']",2011,US-RE42353-E1,Achiral Molecule,"['Caprelsa;Zactima', 'GNF-Pf-2188', 'ZD-6474', 'Vandetanib', 'ZD-64']",Y,,CN1CCC(CC1)COc2cc3c(cc2OC)c(ncn3)Nc4ccc(cc4F)Br,UHTHHESEBZOYNR-UHFFFAOYSA-N
173,Erlotinib,['Tarceva'],4.0,Osi Pharmaceuticals,AQ4,"['1m17', '4hjo', '6dwn']",1.5,0,393.2,3.4,74.7,7,1,10,"For the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of at least one prior chemotherapy regimen.  Also for use, in combination with gemcitabine, as the first-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer.","['EGFR', 'NR1I2']","['(*)', 'Tyr']",2004,US-5747498-A,Achiral Molecule,"['Tarceva', 'Erlotinib', 'OSI-774', 'RG-1415', 'CP-358774', 'R-1415', 'Ro-508231']",Y,,COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C,AAKJLRGGTJKAMG-UHFFFAOYSA-N
174,Pexidartinib,['Turalio'],4.0,Daiichi Sankyo,P31,['4r7h'],2.0,1,417.1,5.2,66.5,4,2,5,"On august 2019, FDA approved pexidartinib to treat adult patients with symptomatic tenosynovial giant cell tumor","['FLT3', 'KIT', 'CSF1R']",['Tyr'],2019,,Achiral Molecule,"['CML-261', 'Pexidartinib', 'PLX3397']",Y,,c1cc(ncc1Cc2c[nH]c3c2cc(cn3)Cl)NCc4ccc(nc4)C(F)(F)F,JGWRKYUXBBNENE-UHFFFAOYSA-N
175,Tofacitinib,['Xeljanz'],4.0,Pfizer,MI1,"['3eyg', '3fup', '3lxk', '3lxn', '4oti']",1.0,0,312.2,1.5,88.9,5,1,3,"For the treatment of moderate to severe rheumatoid arthritis which is resistant or intolerant to methotrexate therapy. It may also be used as an adjun ct to methotrexate therapy, or other non-biologic disease-modifying antirheumatic drugs (DMARDS), when methotrexate alone is not sufficient. Tofacitinib has also been investigated as a preventative therapy for kidney transplant rejections, and as a treatment for psoriasis, ulcerative colitis, and ankylosing spondylitis. It is not to be initiated in patients with a history of chronic or recurrent infections, or in the presence of active infection, even if localized, due to reports of serious and sometimes fatal infections (commonly pneumonia, herpes zoster and urinary tract infections). Use of tofacitinib is also discouraged in those who have been, or are likely to be, exposed to TB. An increased likelihood of exposure may be encountered by traveling to certain areas. In addition, tofacitinib is not to be used in patients with severe hepatic impairment, or low hemoglobin (less than 9g/dL). Cautioned is advised when using tofacitinib in patients at risk of gastrointestinal perforation, and in the elderly who are more susceptible to infection.","['JAK1', 'JAK2', 'JAK3', 'TYK2']",['Tyr'],2012,US-6956041-B2,Single Stereoisomer,"['Tasocitinib', '550', 'CP-690550', 'CP-690', 'Tofacitinib']",Y,,C[C@@H]1CCN(C[C@@H]1N(C)c2c3cc[nH]c3ncn2)C(=O)CC#N,UJLAWZDWDVHWOW-YPMHNXCESA-N
176,Nintedanib,"['Ofev', 'Vargatef']",4.0,Boehringer Ingelheim,XIN,"['3c7q', '5maf', '5te0', '6nec']",1.0,1,539.3,3.6,94.2,7,2,7,Nintedanib is indicated for the treatment of idiopathic pulmonary fibrosis (IPF).,"['FLT1', 'KDR', 'FLT4', 'FGFR1', 'FGFR2', 'FGFR3', 'FLT3', 'LCK', 'LYN', 'SRC']",['Tyr'],2014,US-6762180-B1,Achiral Molecule,"['Ofev;Vargatef', 'Nintedanib', 'BIBF-1120']",Y,,CN1CCN(CC1)CC(=O)N(C)c2ccc(cc2)N/C(=C\3/c4ccc(cc4NC3=O)C(=O)OC)/c5ccccc5,XZXHXSATPCNXJR-ZIADKAODSA-N
177,Tivozanib,,4.0,Aveo Pharmaceuticals,AV9,['4ase'],2.0,1,454.1,5.6,107.7,7,2,6,Tivozanib is an oral VEGF receptor tyrosine kinase inhibitor.,"['FLT1', 'KDR', 'FLT4']",['Tyr'],,,Achiral Molecule,"['AV-951', 'Tivozanib', 'Kil-8951', 'Kil8951', 'ASP-4130', 'KRN-951']",N,,Cc1cc(no1)NC(=O)Nc2ccc(cc2Cl)Oc3ccnc4c3cc(c(c4)OC)OC,SPMVMDHWKHCIDT-UHFFFAOYSA-N
178,Larotrectinib,['Vitrakvi'],4.0,Array BioPharma,,,,0,428.2,2.9,86.0,6,2,3,"On november 26, 2018, the FDA approved larotrectinib to treat patients whose cancers have a specific genetic feature (biomarker)","['NTRK1', 'NTRK2', 'NTRK3']",['Tyr'],2018,,Single Stereoisomer,"['Larotrectinib', 'LOXO-101']",Y,,c1cc(c(cc1F)[C@H]2CCCN2c3ccn4c(n3)c(cn4)NC(=O)N5CC[C@@H](C5)O)F,NYNZQNWKBKUAII-KBXCAEBGSA-N
